fuente,baseline,feature,n_fuente,n_baseline,ks_D,ks_p,ks_D_submuestra,js_distance,wasserstein,wasserstein_norm,mediana_fuente,mediana_baseline
ours_regular,baseline_script,bytes_payload,29702,4357,0.19813186164264981,3.352934989980988e-131,0.19780000000000003,0.5288501093998458,139556.57999363932,0.21418360046317042,126.0,132.0
ours_regular,baseline_script,pkt_size_mean_payload,29702,4357,0.42529607891297916,0.0,0.4154999999999999,0.570319706980917,61.32066628119637,0.2541128522548046,14.527999999999999,48.647
ours_regular,baseline_script,packets_per_s,29702,4357,0.18822570283375029,2.3788921708969204e-118,0.18934999999999996,0.41716822461110115,111.3558544538325,0.06872420080060805,0.4729855,4.616369
ours_regular,baseline_script,bytes_per_s_payload,29702,4357,0.22248963682656797,1.0279441756967289e-165,0.22244999999999995,0.46004860017722504,44338.34606259047,0.2298454213734805,113.9724205,152.392941
ours_regular,baseline_script,syn_count,29702,4357,0.15137553264732484,1.73304961336352e-76,0.14435000000000003,0.15837112287482338,0.29290816974124123,0.3092632724484092,0.0,0.0
ours_regular,baseline_script,psh_count,29702,4357,0.14732184701753281,1.8906623502621255e-72,0.14009999999999997,0.37720788691716783,16.889788771199346,0.14454573252698502,0.0,0.0
ours_regular,baseline_script,ack_count,29702,4357,0.3263086572739909,0.0,0.3156,0.4429570300210705,117.87828757780548,0.22193038571943657,1.0,0.0
ours_regular,baseline_script,fin_count,29702,4357,0.16305991670886666,9.407549166423253e-89,0.15635000000000004,0.18053121529754437,0.2814685396010904,0.3129829491615465,0.0,0.0
ours_regular,baseline_script,rst_count,29702,4357,0.026048210788870874,0.011317917291854966,0.027049999999999946,0.0,0.026048210788870874,0.10822159929538737,0.0,0.0
ours_regular,baseline_script,dst_port,29702,4357,0.46292464136951417,0.0,0.46229999999999993,0.5140858260156773,4778.795590116042,0.39405122013862,53.0,5355.0
ours_regular,baseline_publico_ctu,duration_s,29702,2978,0.20050633697911452,7.234641340656738e-96,0.20515,0.3325301872067096,2.481066595065065,0.08910603162821856,0.047594,0.0885465
ours_regular,baseline_publico_ctu,packets,29702,2978,0.33773845947425196,5.912707468244832e-276,0.3339,0.5459619286582653,138.8435618977478,0.27746309832134536,4.0,2.0
ours_regular,baseline_publico_ctu,bytes_payload,29702,2978,0.23059240933636785,5.001967303221572e-127,0.23315000000000002,0.552875408948192,115322.36008173734,0.2535048138380542,126.0,138.0
ours_regular,baseline_publico_ctu,pkt_size_mean_payload,29702,2978,0.42046554313252404,0.0,0.41445,0.634814983213968,87.49691113697156,0.39198936383315686,14.527999999999999,80.0
ours_regular,baseline_publico_ctu,packets_per_s,29702,2978,0.31698979959380713,2.428493334258512e-242,0.31105,0.5243579924380104,251.64625556133473,0.11460406352048133,0.4729855,6.6888505
ours_regular,baseline_publico_ctu,bytes_per_s_payload,29702,2978,0.1344518749689947,3.8757487262033825e-43,0.1413,0.30363925641550027,21343.28830619159,0.12646002738707224,113.9724205,348.3714645
ours_regular,baseline_publico_ctu,syn_count,29702,2978,0.25965103823568425,1.7935322303839846e-161,0.2512,0.2913949931376658,0.4844332593396171,0.5120634596408625,0.0,0.0
ours_regular,baseline_publico_ctu,psh_count,29702,2978,0.25364390826648353,5.359035155884566e-154,0.24635,0.360350023216945,4.959515810939483,0.06490175936076957,0.0,0.0
ours_regular,baseline_publico_ctu,ack_count,29702,2978,0.4727067016582313,0.0,0.46555,0.44928020043703293,82.25421332086789,0.22221266281639526,1.0,0.0
ours_regular,baseline_publico_ctu,fin_count,29702,2978,0.272877337767379,1.3686177762230429e-178,0.26580000000000004,0.301962154129167,0.5227623947916217,0.5815426333908569,0.0,0.0
ours_regular,baseline_publico_ctu,rst_count,29702,2978,0.005051838185433533,0.9999997493116946,0.007849999999999946,0.0,0.005051838185433533,0.02146169502611845,0.0,0.0
ours_regular,baseline_publico_ctu,dst_port,29702,2978,0.5019426233426201,0.0,0.4981,0.49069906526211965,17577.720547973764,1.2784171280585257,53.0,13690.0
ours_regular,baseline_publico_ids2018,duration_s,29702,50000,0.3991728853275874,0.0,0.4022,0.74969061439725,2.7022371481484155,0.09158504369227548,0.047594,0.026545
ours_regular,baseline_publico_ids2018,packets,29702,50000,0.40411420106390145,0.0,0.40675,0.7238185721879461,11.571850058582196,0.05169622186280393,4.0,3.0
ours_regular,baseline_publico_ids2018,bytes_payload,29702,50000,0.19401755572015356,0.0,0.19829999999999998,0.485581705920416,10701.430459742965,0.04526831319801762,126.0,172.0
ours_regular,baseline_publico_ids2018,pkt_size_mean_payload,29702,50000,0.3090091872601172,0.0,0.3045999999999999,0.5697538226479877,75.57948141459025,0.44010708782251934,14.527999999999999,64.0
ours_regular,baseline_publico_ids2018,packets_per_s,29702,50000,0.4272444885866271,0.0,0.4255,0.7036708523740326,31715.890807317955,0.1796594127614759,0.4729855,112.61261300000001
ours_regular,baseline_publico_ids2018,bytes_per_s_payload,29702,50000,0.2332053477880277,0.0,0.23569999999999997,0.3742431927306153,297581.5122210856,0.08147985683230693,113.9724205,1173.1864369999998
ours_regular,baseline_publico_ids2018,syn_count,29702,50000,0.3385630597266177,0.0,0.33129999999999993,0.44285762176364635,0.6568405130967611,0.9584019748611592,0.0,0.0
ours_regular,baseline_publico_ids2018,psh_count,29702,50000,0.34539761632213317,0.0,0.33845,0.5693368941791581,4.384411001279489,0.09042798568828968,0.0,0.0
ours_regular,baseline_publico_ids2018,ack_count,29702,50000,0.4299437869503738,0.0,0.42275,0.5097514656953184,13.791569266716309,0.09088911666128019,1.0,0.0
ours_regular,baseline_publico_ids2018,fin_count,29702,50000,0.33195434246852074,0.0,0.3247,0.4289841268278215,0.634223549929298,0.988704610205745,0.0,0.0
ours_regular,baseline_publico_ids2018,rst_count,29702,50000,0.005086425156555108,0.7186673606127839,0.008849999999999969,0.0,0.005086425156555108,0.02115502576306993,0.0,0.0
ours_regular,baseline_publico_ids2018,dst_port,29702,50000,0.23053835835970637,0.0,0.23010000000000003,0.5346712113852526,4507.283888302471,0.28710069815936534,53.0,80.0
