source,profile,run_id,flow_id,ip_version,protocol,src_ip,dst_ip,src_port,dst_port,duration_s,packets,bytes_wire,bytes_payload,pkt_size_mean_wire,pkt_size_mean_payload,packets_per_s,bytes_per_s_payload,fin_count,syn_count,rst_count,psh_count,ack_count,urg_count,service
ours_gamer,gamer,gamer_run01,gamer_run01_181,IPv4,TCP,192.168.18.4,162.159.135.233,49164,443,84.818982,8,497,41,62.125,5.125,0.094319,0.483382,2,0,0,1,8,0,HTTPS
ours_gamer,gamer,gamer_run01,gamer_run01_182,IPv4,UDP,192.168.18.4,155.133.246.39,53103,27018,119.995747,19123,14064765,13261599,735.489,693.489,159.363981,110517.241833,0,0,0,0,0,0,UNKNOWN
ours_gamer,gamer,gamer_run01,gamer_run01_183,IPv4,TCP,192.168.18.4,162.159.136.234,65525,443,82.644979,12,1170,522,97.5,43.5,0.145199,6.316173,0,0,0,6,12,0,HTTPS
ours_gamer,gamer,gamer_run01,gamer_run01_184,IPv4,TCP,192.168.18.4,162.159.137.234,51964,8443,110.0843,27,2610,1152,96.667,42.667,0.245267,10.464707,0,0,0,18,27,0,UNKNOWN
ours_gamer,gamer,gamer_run01,gamer_run01_185,IPv4,TCP,192.168.18.4,162.159.128.235,51967,443,84.776242,7,443,41,63.286,5.857,0.08257,0.483626,2,0,0,1,7,0,HTTPS
ours_gamer,gamer,gamer_run01,gamer_run01_186,IPv4,UDP,192.168.18.200,224.0.0.251,5353,5353,4.007192,3,300,174,100.0,58.0,0.748654,43.421926,0,0,0,0,0,0,UNKNOWN
ours_gamer,gamer,gamer_run01,gamer_run01_187,IPv6,UDP,fe80::1013:fd6c:8a58:9c6f,ff02::fb,5353,5353,4.007192,3,360,174,120.0,58.0,0.748654,43.421926,0,0,0,0,0,0,UNKNOWN
ours_gamer,gamer,gamer_run01,gamer_run01_188,IPv4,UDP,192.168.18.1,239.255.255.250,36558,1900,61.810663,8,1396,1060,174.5,132.5,0.129428,17.149145,0,0,0,0,0,0,UNKNOWN
ours_gamer,gamer,gamer_run01,gamer_run01_189,IPv4,UDP,192.168.18.4,192.168.18.1,53087,53,99.337328,8,752,416,94.0,52.0,0.080534,4.187751,0,0,0,0,0,0,DNS
ours_gamer,gamer,gamer_run01,gamer_run01_190,IPv4,TCP,192.168.18.4,4.231.128.59,52041,443,0.326519,22,7061,5857,320.955,266.227,67.377394,17937.699725,2,2,0,11,21,0,HTTPS
ours_gamer,gamer,gamer_run01,gamer_run01_191,IPv4,TCP,192.168.18.4,4.231.128.59,52041,443,0.0,1,54,0,54.0,0.0,0.0,0.0,0,0,1,0,1,0,HTTPS
ours_gamer,gamer,gamer_run01,gamer_run01_192,IPv4,TCP,192.168.18.4,4.231.128.59,52042,443,0.315699,21,6660,5510,317.143,262.381,66.519037,17453.328158,2,2,0,10,20,0,HTTPS
ours_gamer,gamer,gamer_run01,gamer_run01_193,IPv4,TCP,192.168.18.4,216.239.32.223,52040,443,110.025595,17,5880,4946,345.882,290.941,0.15451,44.953177,2,2,0,7,16,0,HTTPS
ours_gamer,gamer,gamer_run01,gamer_run01_194,IPv4,TCP,192.168.18.4,199.232.211.52,49161,443,90.102539,6,363,3,60.5,0.5,0.066591,0.033295,0,0,0,0,6,0,HTTPS
ours_gamer,gamer,gamer_run01,gamer_run01_195,IPv4,TCP,192.168.18.4,199.232.215.52,51959,443,90.079978,6,363,3,60.5,0.5,0.066607,0.033304,0,0,0,0,6,0,HTTPS
ours_gamer,gamer,gamer_run01,gamer_run01_196,IPv4,UDP,192.168.18.4,162.254.196.70,53105,27060,0.046942,2,2684,2600,1342.0,1300.0,42.605773,55387.504635,0,0,0,0,0,0,UNKNOWN
ours_gamer,gamer,gamer_run01,gamer_run01_197,IPv4,UDP,192.168.18.4,155.133.248.37,53099,27032,0.053754,2,2684,2600,1342.0,1300.0,37.206635,48368.62592,0,0,0,0,0,0,UNKNOWN
ours_gamer,gamer,gamer_run01,gamer_run01_198,IPv4,UDP,192.168.18.4,162.254.197.42,64864,27042,0.052159,2,2684,2600,1342.0,1300.0,38.344241,49847.51361,0,0,0,0,0,0,UNKNOWN
ours_gamer,gamer,gamer_run01,gamer_run01_199,IPv4,UDP,192.168.18.4,146.66.155.72,64869,27051,0.054302,2,2684,2600,1342.0,1300.0,36.831071,47880.392871,0,0,0,0,0,0,UNKNOWN
ours_gamer,gamer,gamer_run01,gamer_run01_200,IPv4,UDP,192.168.18.4,172.255.8.172,53100,27019,0.055954,2,2684,2600,1342.0,1300.0,35.74366,46466.757567,0,0,0,0,0,0,UNKNOWN
ours_gamer,gamer,gamer_run01,gamer_run01_201,IPv4,UDP,192.168.18.4,155.133.252.84,53095,27015,0.065381,2,2684,2600,1342.0,1300.0,30.589903,39766.87428,0,0,0,0,0,0,UNKNOWN
ours_gamer,gamer,gamer_run01,gamer_run01_202,IPv4,UDP,192.168.18.4,162.254.198.42,53101,27030,0.073704,2,2684,2600,1342.0,1300.0,27.135568,35276.238043,0,0,0,0,0,0,UNKNOWN
ours_gamer,gamer,gamer_run01,gamer_run01_203,IPv4,UDP,192.168.18.4,155.133.230.102,53102,27019,0.074666,2,2684,2600,1342.0,1300.0,26.785945,34821.728635,0,0,0,0,0,0,UNKNOWN
ours_gamer,gamer,gamer_run01,gamer_run01_204,IPv4,UDP,192.168.18.4,162.254.193.98,64865,27159,0.108292,2,2684,2600,1342.0,1300.0,18.468608,24009.190483,0,0,0,0,0,0,UNKNOWN
ours_gamer,gamer,gamer_run01,gamer_run01_205,IPv4,UDP,192.168.18.4,162.254.192.124,53108,27046,0.122507,2,2684,2600,1342.0,1300.0,16.325585,21223.260521,0,0,0,0,0,0,UNKNOWN
ours_gamer,gamer,gamer_run01,gamer_run01_206,IPv4,UDP,192.168.18.4,162.254.199.170,53107,27187,0.139891,2,2684,2600,1342.0,1300.0,14.29683,18585.879409,0,0,0,0,0,0,UNKNOWN
ours_gamer,gamer,gamer_run01,gamer_run01_207,IPv4,UDP,192.168.18.4,162.254.194.38,53106,27092,0.161589,2,2684,2600,1342.0,1300.0,12.377087,16090.213396,0,0,0,0,0,0,UNKNOWN
ours_gamer,gamer,gamer_run01,gamer_run01_208,IPv4,UDP,192.168.18.4,185.25.183.179,53091,27043,0.165139,2,2684,2600,1342.0,1300.0,12.110995,15744.293461,0,0,0,0,0,0,UNKNOWN
ours_gamer,gamer,gamer_run01,gamer_run01_209,IPv4,UDP,192.168.18.4,205.196.6.135,53110,27047,0.168017,2,2684,2600,1342.0,1300.0,11.903547,15474.610871,0,0,0,0,0,0,UNKNOWN
